Name,Interests,Mood,tripadvisor,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,,,,,,
Laguna Golf Lăng Cô,89,9a,,https://www.lagunalangco.com/wp-content/uploads/2023/10/Golf-slider-4.jpg,https://maps.app.goo.gl/HoLyDZMvwEoTj8WJ9,"16.3312356,107.9531663",3.1,450,1900000,06:00,18:30,"Lộc Vĩnh, Phú Lộc, Thừa Thiên Huế 530000",,,,,,,
Chùa Thánh Duyên,13,4,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chua_thanh_duyen.jpg,https://maps.app.goo.gl/12z5HPZxwGnpi5EKA,"16.3430157,107.8898463",5.0,1,0,all time,all day ,"Thôn Một, Phú Lộc, Thừa Thiên Huế",,heritage,4,,spiritual,4,
Biển Lộc Bình,8,189,,https://mia.vn/media/uploads/blog-du-lich/bien-loc-binh-dam-say-truoc-ve-dep-hoang-so-cua-nang-tien-bien-xu-hue-1637830091.jpg,https://maps.app.goo.gl/U5M9ZD3WnqB9hHYLA,"16.3440884,107.9449362",3.1,371,0,all time,all time,"8WVV+JXM, Lộc Bình, Phú Lộc, Thừa Thiên Huế",,,,,,,
Lăng vua Gia Long – Thiên Thọ Lăng,123458,179,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d10795126-Reviews-Gia_Long_Tomb-Hue_Thua_Thien_Hue_Province.html,https://bizweb.dktcdn.net/100/006/093/files/lang-gia-long.jpg,https://maps.app.goo.gl/Bvj2wdCUMYi9wpVs6,"16.3617847,107.5968282",4.7,744,150000,7.00 AM,5.30 PM,"9H6W+PP8, Hương Thọ, Hương Trà, Thừa Thiên Huế",,,,,,,
Biển Hàm Rồng,8,189,,https://mia.vn/media/uploads/blog-du-lich/check-in-bai-bien-ham-rong-bai-bien-quyen-ru-nhat-tai-xu-hue-mong-mo-2-1638889145.jpg,https://maps.app.goo.gl/Liw6mbqXbddMu81z9,"16.3676532,107.9050789",3.1,56,0,all time,all time,"9W94+328, Unnamed Road, Phú Lộc, Thừa Thiên Huế",,,,,,,
Chùa Hà Trung,13,4,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220804_chuahatrung1.jpg,https://maps.app.goo.gl/wz1qaJqi5zFgVptf7,"16.3722195,107.8129335",4.0,1,0,all time,all time,"9RC7+V5, Vinh Hà, Phú Vang, Thừa Thiên Huế",,,,,,,
Lăng vua Minh Mạng – Hiếu Lăng,123458,179,https://www.tripadvisor.com.vn/Attraction_Review-g293926-d451127-Reviews-Mausoleum_of_Emperor_Minh_Mang-Hue_Thua_Thien_Hue_Province.html,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/lang-minh-mang-e1503901472804.jpg,https://maps.app.goo.gl/AdxN6g2W58rZSBWX7,"16.3876431,107.5690752",4.5,4449,150000,7.30 AM,5.00 PM,"Hương Thọ, Hương Trà, Thừa Thiên Huế",,,,,,,
Chùa Phật Đứng Huế,123,4,,https://www.geoholidayclub.org/wp-content/uploads/2018/05/tuongphat680x0-1497950244.jpg,https://maps.app.goo.gl/rWAwag24KoMBXVLY8,"16.392005,107.5842296",4.7,609,0,all time,all time,"Thủy Bằng, Hương Thủy, Thừa Thiên Huế",,market,6,,shopping,6,
Lăng vua Khải Định – Ứng Lăng,123458,179,,https://thuathienhue.gov.vn/Portals/0/MINH2022/MINH%20THANG%205/M_20220805_KHAIDINH.jpg,https://maps.app.goo.gl/jcrpHiEZvC7fRefh9,"16.3990173,107.5903623",4.4,12624,150000,7.00 Am,5.30 PM,"xã Thủy Bằng, huyện Hương Thuỷ Huế Thua Thien-Hue Province, 530000",,,,,,,
Không gian lưu niệm Lê Bá Đảng,27,7,,https://lebadangmemoryspace.com/wp-content/uploads/2019/06/62143005_2555508221140159_6218733970226413568_o.jpg,https://maps.app.goo.gl/kXYLS9fcTRjYxewu7,"16.4042598,107.5110287",4.5,245,120000,8.00 AM/ 2.00PM,12.00 PM/ 6.00 PM,"Thôn Kim Sơn, Thừa Thiên Huế",,,,,,,
Đồi Ngọc Linh,8,197,,https://mia.vn/media/uploads/blog-du-lich/day-som-check-in-doi-ngoc-linh-co-lau-mong-mo-tai-hue-ne-ban-oi-2-1637753382.jpeg,https://maps.app.goo.gl/hjCWRedfYLL2wfNM6,"16.4055923,107.5878788",3.1,63,,,,,,,,,,,
"
Không Gian Trải Nghiệm Quan Xưởng",23a,67a,,https://cungdinhnguyen.com/wp-content/uploads/2023/06/Quan-xuong-Thuy-Bang-1024x578.jpg,https://maps.app.goo.gl/HUiXRsxC68ib3eYeA,"16.4068341,107.5818666",4.1,8,0,08:00,22:00,"CH4Q+VQR, Khải Định, Thôn Kim Sơn, Huyện Hương Thủy, Thừa Thiên Huế 530000",,,,,,,
Đồi Thiên An,8,179,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/THIENAN.jpg,https://maps.app.goo.gl/f7iLDfPwwemeEJP4A,"16.4114969,107.5822987",3.1,195,0,all time,all time,"Thủy Bằng, Tx. Hương Thủy, Thừa Thiên Huế",,,,,,,
Lăng Hiệp Hòa,123458,179,,https://static.vinwonders.com/production/lang-vua-hiep-hoa-so-2.jpg,https://maps.app.goo.gl/8qTUfZLLowhUWfkR7,"16.4168233,107.6054352",4.9,15,0,7.00 AM,11.30 PM,"CJ84+P5F, An Tây, Thành phố Huế, Thừa Thiên Huế",,,,,,,
