Name,Interests,Mood,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,interest,const_num,,mood,const_num,budget
Chùa Trúc Lâm,13,4,https://bvhttdl.mediacdn.vn/291773308735864832/2022/8/9/chua-phat-tich-truc-lam-ban-gioc-dat-phat-o-mien-bien-gioi-cao-bang-1-1660016750986343081140-1660038406623-16600384069372014855399.jpg,https://maps.app.goo.gl/wvZWwcLMRAfnWpWC6,"16.4266856,107.5838954",,,,,,,,,,,,,
Chùa Tây Thiên,13,4,https://ik.imagekit.io/tvlk/blog/2023/06/chua-tay-thien-7-1024x576.jpg,https://maps.app.goo.gl/FrUcaCPQ4iffAHcf7,"16.4325054,107.5840017",,,,,,,,,,,,,
Chùa  Tường Vân,13,4,,https://maps.app.goo.gl/BqkTqn1w3bMFtBDb7,"16.4461048,107.577473",,,,,,,,,,,,,
Chùa Viên Thông,13,4,,https://maps.app.goo.gl/G8Nn7YfXunmszNG19,"16.4400948,107.5931372",,,,,,,,,,,,,
Chùa Cảnh Phước,13,4,,https://maps.app.goo.gl/FQS9HKD9v5q18dMe7,"16.2683008,107.8821997",,,,,,,,,,,,,
Đại Nội Huế,12345,27,,https://maps.app.goo.gl/kykKgA6Ten9BYNSs6,"16.468451,107.578589",,,,,,,,,,,,,
Lăng vua Khải Định – Ứng Lăng,123458,179,,https://maps.app.goo.gl/jcrpHiEZvC7fRefh9,"16.3990173,107.5903623",,,,,,,,,,,,,
Lăng vua Minh Mạng – Hiếu Lăng,123458,179,,https://maps.app.goo.gl/AdxN6g2W58rZSBWX7,"16.3876431,107.5690752",,,,,,,,,,,,,
Lăng vua Tự Đức – Khiêm Lăng,123458,179,,https://maps.app.goo.gl/FDnaYms6L1JwnMMW6,"16.4330054,107.5664315",,,,,,,,,,,,,
Lăng vua Gia Long – Thiên Thọ Lăng,123458,179,,https://maps.app.goo.gl/Bvj2wdCUMYi9wpVs6,"16.3617847,107.5968282",,,,,,,,,,,,,
Lăng vua Thiệu Trị – Xương Lăng,123458,179,,https://maps.app.goo.gl/tbRpsQfLiQfNpRam9,"16.4178679,107.572561",,,,,,,,,,,,,
