osmid,y,x,street_count,highway,ref,geometry
472093647,16.4701407,107.5954173,1,,,POINT (107.5954173 16.4701407)
472093654,16.4704082,107.5952135,3,,,POINT (107.5952135 16.4704082)
472093656,16.4704854,107.5951518,1,,,POINT (107.5951518 16.4704854)
472093657,16.4702711,107.5949958,3,,,POINT (107.5949958 16.4702711)
472093658,16.4696983,107.593918,3,,,POINT (107.593918 16.4696983)
472093659,16.4697806,107.5938348,3,,,POINT (107.5938348 16.4697806)
472093660,16.4695839,107.59319,3,,,POINT (107.59319 16.4695839)
472093686,16.4695208,107.5940091,1,,,POINT (107.5940091 16.4695208)
472093689,16.4700258,107.5952035,3,,,POINT (107.5952035 16.4700258)
472093690,16.4685895,107.5950959,3,,,POINT (107.5950959 16.4685895)
472093691,16.4689291,107.5954366,3,,,POINT (107.5954366 16.4689291)
472093693,16.4704366,107.5942291,3,,,POINT (107.5942291 16.4704366)
472093705,16.4706502,107.5944751,3,,,POINT (107.5944751 16.4706502)
472093706,16.468392,107.5948855,3,,,POINT (107.5948855 16.468392)
472093707,16.4699195,107.5950418,1,,,POINT (107.5950418 16.4699195)
472093723,16.4688881,107.5935344,3,,,POINT (107.5935344 16.4688881)
472093726,16.4686766,107.5946206,1,,,POINT (107.5946206 16.4686766)
472093727,16.4692976,107.5954878,1,,,POINT (107.5954878 16.4692976)
472093728,16.4694375,107.5957015,3,,,POINT (107.5957015 16.4694375)
472093817,16.4698989,107.5940011,3,,,POINT (107.5940011 16.4698989)
472093868,16.4696623,107.5936524,3,,,POINT (107.5936524 16.4696623)
472093869,16.4697986,107.5938133,3,,,POINT (107.5938133 16.4697986)
472093870,16.4694465,107.5930304,4,,,POINT (107.5930304 16.4694465)
472093917,16.4698037,107.5940735,3,,,POINT (107.5940735 16.4698037)
472094181,16.4702539,107.5931669,3,,,POINT (107.5931669 16.4702539)
472094409,16.4711104,107.595302,3,,,POINT (107.595302 16.4711104)
472094419,16.4706628,107.5953798,1,,,POINT (107.5953798 16.4706628)
472094426,16.4684587,107.5939165,3,,,POINT (107.5939165 16.4684587)
472094440,16.4698177,107.5935111,3,,,POINT (107.5935111 16.4698177)
472094451,16.4687406,107.5943996,1,,,POINT (107.5943996 16.4687406)
472094458,16.4777356,107.5933476,3,,,POINT (107.5933476 16.4777356)
472094465,16.4776096,107.5933476,3,,,POINT (107.5933476 16.4776096)
472094471,16.4776076,107.5927616,3,,,POINT (107.5927616 16.4776076)
472094474,16.471113,107.5934486,1,,,POINT (107.5934486 16.471113)
472094475,16.4708876,107.5951316,1,,,POINT (107.5951316 16.4708876)
472094478,16.4709915,107.5947434,3,,,POINT (107.5947434 16.4709915)
472094481,16.4694646,107.5938216,1,,,POINT (107.5938216 16.4694646)
472094485,16.4769816,107.5936216,3,,,POINT (107.5936216 16.4769816)
472094488,16.4772576,107.5927856,3,,,POINT (107.5927856 16.4772576)
472094493,16.4772556,107.5927856,3,,,POINT (107.5927856 16.4772556)
472094496,16.4769486,107.5927946,3,,,POINT (107.5927946 16.4769486)
472094508,16.4774856,107.5927676,4,,,POINT (107.5927676 16.4774856)
472094510,16.4770446,107.5933136,3,,,POINT (107.5933136 16.4770446)
472094517,16.4773926,107.5936356,3,,,POINT (107.5936356 16.4773926)
