osmid,y,x,street_count,ref,highway,geometry
7742288751,16.6169496,107.4586493,3,,,POINT (107.4586493 16.6169496)
7742288754,16.6180204,107.4574229,3,,,POINT (107.4574229 16.6180204)
7742288755,16.6040608,107.4502746,3,,,POINT (107.4502746 16.6040608)
7742288773,16.6174499,107.4567496,3,,,POINT (107.4567496 16.6174499)
7742288777,16.6050241,107.4464792,3,,,POINT (107.4464792 16.6050241)
7742335395,16.5991293,107.4596406,3,,,POINT (107.4596406 16.5991293)
7742335404,16.6068773,107.4629456,3,,,POINT (107.4629456 16.6068773)
7742335414,16.6085748,107.4596252,3,,,POINT (107.4596252 16.6085748)
7742339068,16.37296,107.7096619,3,,,POINT (107.7096619 16.37296)
7742344331,16.4865461,107.5328292,3,,,POINT (107.5328292 16.4865461)
7742344339,16.4867181,107.5333726,3,,,POINT (107.5333726 16.4867181)
7742344360,16.4849208,107.5335846,3,,,POINT (107.5335846 16.4849208)
7742344361,16.4852085,107.5350393,3,,,POINT (107.5350393 16.4852085)
7742344367,16.4852384,107.5335457,3,,,POINT (107.5335457 16.4852384)
7742344369,16.4850065,107.5354457,3,,,POINT (107.5354457 16.4850065)
7742344371,16.4844788,107.5351775,3,,,POINT (107.5351775 16.4844788)
7742344372,16.4848739,107.5350809,3,,,POINT (107.5350809 16.4848739)
7742344374,16.4841454,107.5337441,3,,,POINT (107.5337441 16.4841454)
7742344376,16.4837584,107.5338459,3,,,POINT (107.5338459 16.4837584)
7742344383,16.4834554,107.5350434,1,,,POINT (107.5350434 16.4834554)
7742344384,16.4832239,107.541972,4,,,POINT (107.541972 16.4832239)
7742349586,16.4838915,107.5430399,4,,,POINT (107.5430399 16.4838915)
7742349588,16.4848532,107.5428759,3,,,POINT (107.5428759 16.4848532)
7742349589,16.4854117,107.5424612,3,,,POINT (107.5424612 16.4854117)
7742349590,16.4861113,107.5419422,3,,,POINT (107.5419422 16.4861113)
7742349591,16.4862382,107.5418507,3,,,POINT (107.5418507 16.4862382)
7742349592,16.4866005,107.5415718,3,,,POINT (107.5415718 16.4866005)
7742349593,16.4858636,107.5399568,3,,,POINT (107.5399568 16.4858636)
7742349594,16.4851392,107.5405099,4,,,POINT (107.5405099 16.4851392)
7742349595,16.484767,107.540794,3,,,POINT (107.540794 16.484767)
7742349596,16.4844209,107.5410583,3,,,POINT (107.5410583 16.4844209)
7742349598,16.4839206,107.5414401,3,,,POINT (107.5414401 16.4839206)
7742349599,16.4835709,107.5417071,3,,,POINT (107.5417071 16.4835709)
7742349600,16.4829119,107.5422101,1,,,POINT (107.5422101 16.4829119)
7742349602,16.4842499,107.5427725,3,,,POINT (107.5427725 16.4842499)
7742349603,16.4846161,107.5424991,4,,,POINT (107.5424991 16.4846161)
7742349606,16.4851546,107.5420972,4,,,POINT (107.5420972 16.4851546)
7742349607,16.4855244,107.5418212,3,,,POINT (107.5418212 16.4855244)
7742349608,16.4836131,107.5432477,1,,,POINT (107.5432477 16.4836131)
7742349613,16.4858594,107.5415711,4,,,POINT (107.5415711 16.4858594)
7742349615,16.486417,107.5411549,3,,,POINT (107.5411549 16.486417)
7742349616,16.4853772,107.5408605,3,,,POINT (107.5408605 16.4853772)
7742349617,16.4856306,107.5412339,3,,,POINT (107.5412339 16.4856306)
7742349619,16.486055,107.5403628,3,,,POINT (107.5403628 16.486055)
7742349621,16.4862369,107.5407548,3,,,POINT (107.5407548 16.4862369)
7742349622,16.4849349,107.540217,1,,,POINT (107.540217 16.4849349)
7742349627,16.4774136,107.5347484,3,,,POINT (107.5347484 16.4774136)
7742349631,16.4780249,107.5328746,1,,,POINT (107.5328746 16.4780249)
7742349632,16.4763005,107.531725,3,,,POINT (107.531725 16.4763005)
7742349634,16.4764407,107.5322241,3,,,POINT (107.5322241 16.4764407)
7742349641,16.476802,107.5327404,1,,,POINT (107.5327404 16.476802)
7742349644,16.4755739,107.5327321,3,,,POINT (107.5327321 16.4755739)
7742349645,16.4751123,107.5323797,3,,,POINT (107.5323797 16.4751123)
7742349646,16.4756292,107.5320241,3,,,POINT (107.5320241 16.4756292)
7742349652,16.4764248,107.5310048,1,,,POINT (107.5310048 16.4764248)
7742349653,16.4680542,107.5336918,3,,,POINT (107.5336918 16.4680542)
7742349660,16.4676587,107.5354635,3,,,POINT (107.5354635 16.4676587)
7742349662,16.4673204,107.5363361,1,,,POINT (107.5363361 16.4673204)
7742349666,16.4682144,107.5369207,3,,,POINT (107.5369207 16.4682144)
7742349667,16.4681809,107.5361724,1,,,POINT (107.5361724 16.4681809)
7742349668,16.4678687,107.5363152,1,,,POINT (107.5363152 16.4678687)
7742349670,16.4679355,107.5369823,3,,,POINT (107.5369823 16.4679355)
7742349677,16.4691042,107.5413695,3,,,POINT (107.5413695 16.4691042)
7742349680,16.4677077,107.5419446,1,,,POINT (107.5419446 16.4677077)
7742349686,16.4780538,107.5500962,1,,,POINT (107.5500962 16.4780538)
7742349687,16.477892,107.5523763,1,,,POINT (107.5523763 16.477892)
7742349689,16.4779412,107.5532502,1,,,POINT (107.5532502 16.4779412)
7742349693,16.4790339,107.552678,3,,,POINT (107.552678 16.4790339)
7742349695,16.4796435,107.5530467,3,,,POINT (107.5530467 16.4796435)
7742349697,16.4794337,107.5532774,1,,,POINT (107.5532774 16.4794337)
7742349700,16.4807267,107.5526225,3,,,POINT (107.5526225 16.4807267)
7742349703,16.485282,107.5510641,3,,,POINT (107.5510641 16.485282)
7742349711,16.4860461,107.5506075,4,,,POINT (107.5506075 16.4860461)
7742349713,16.4867135,107.5502185,3,,,POINT (107.5502185 16.4867135)
7742349718,16.4882103,107.5493291,3,,,POINT (107.5493291 16.4882103)
7742390209,16.3706747,107.709804,3,,,POINT (107.709804 16.3706747)
7742390228,16.3720059,107.7089652,1,,,POINT (107.7089652 16.3720059)
7742390229,16.3752001,107.7082121,3,,,POINT (107.7082121 16.3752001)
7742390230,16.3751493,107.7077971,3,,,POINT (107.7077971 16.3751493)
7742390233,16.3745323,107.7064218,1,,,POINT (107.7064218 16.3745323)
7742390234,16.3756305,107.707724,3,,,POINT (107.707724 16.3756305)
7742390237,16.3767831,107.7077957,3,,,POINT (107.7077957 16.3767831)
7742390238,16.3699439,107.7047266,3,,,POINT (107.7047266 16.3699439)
7742390241,16.3701903,107.706055,3,,,POINT (107.706055 16.3701903)
7742390243,16.3703884,107.707158,3,,,POINT (107.707158 16.3703884)
7742390259,16.3694035,107.7045087,3,,,POINT (107.7045087 16.3694035)
7742390283,16.3699104,107.7035572,1,,,POINT (107.7035572 16.3699104)
7742390284,16.3694196,107.704515,3,,,POINT (107.704515 16.3694196)
7742390333,16.376685,107.7083342,3,,,POINT (107.7083342 16.376685)
7742390338,16.3737507,107.7091818,3,,,POINT (107.7091818 16.3737507)
7742390344,16.372031,107.7098818,3,,,POINT (107.7098818 16.372031)
7742390345,16.376225,107.7062193,1,,,POINT (107.7062193 16.376225)
7742390348,16.3787056,107.7067207,3,,,POINT (107.7067207 16.3787056)
7742390349,16.3795408,107.6968633,3,,,POINT (107.6968633 16.3795408)
7742390354,16.3764328,107.7036215,1,,,POINT (107.7036215 16.3764328)
7742390361,16.3712834,107.7065894,3,,,POINT (107.7065894 16.3712834)
7742390363,16.3792442,107.7023026,3,,,POINT (107.7023026 16.3792442)
7742390364,16.3774036,107.7024494,1,,,POINT (107.7024494 16.3774036)
7742390419,16.3672314,107.6888855,1,,,POINT (107.6888855 16.3672314)
7742550046,16.5771674,107.479808,3,,,POINT (107.479808 16.5771674)
7742550048,16.577508,107.4778057,3,,,POINT (107.4778057 16.577508)
